features_prc,dm_dim,all_features_1,all_features_2,all_features_3,all_features_4,all_features_5,random_features_1,random_features_2,random_features_3,random_features_4,random_features_5,fisher_1,fisher_2,fisher_3,fisher_4,fisher_5,relief_1,relief_2,relief_3,relief_4,relief_5,chi_square_1,chi_square_2,chi_square_3,chi_square_4,chi_square_5,mrmr_1,mrmr_2,mrmr_3,mrmr_4,mrmr_5,shirs_algo_1,shirs_algo_2,shirs_algo_3,shirs_algo_4,shirs_algo_5,kmeans_0.0_1,kmeans_0.0_2,kmeans_0.0_3,kmeans_0.0_4,kmeans_0.0_5,kmeans_0.2_1,kmeans_0.2_2,kmeans_0.2_3,kmeans_0.2_4,kmeans_0.2_5,kmeans_0.35_1,kmeans_0.35_2,kmeans_0.35_3,kmeans_0.35_4,kmeans_0.35_5,kmeans_0.5_1,kmeans_0.5_2,kmeans_0.5_3,kmeans_0.5_4,kmeans_0.5_5
0.02,2,1.0,0.991919191919192,0.9966040722354126,1.0,1.0,0.2827768856773273,0.3311175265412553,0.5373586881078464,0.3122071579214436,0.2857142857142857,0.2938568540788707,0.2882471209487592,0.5573511770880192,0.3286842984037935,0.3031746031746031,0.1842720664542661,0.1859508820250508,0.4969580737786248,0.1556246962541329,0.1528471528471528,0.2996890894763235,0.3393563218390804,0.5400935089904088,0.342211932538809,0.3124839124839124,0.2891194918099516,0.3140130944526214,0.5342894312566017,0.3074482963844666,0.3144889250152408,0.2819372117244457,0.3078261441221341,0.5520174581560721,0.3181601731601732,0.2841269841269841,1.0,0.991919191919192,0.993338494252761,0.9942521756729408,1.0,0.9872340425531916,0.9853357753357754,0.9904856497662172,0.995,0.995744680851064,0.9916666666666666,0.9763271324863884,0.9904912394734844,0.995,0.995744680851064,0.9959183673469388,0.97500663413799,0.9936628957648244,0.9934492315444696,0.9862208713272544
0.05,2,1.0,0.991919191919192,0.9966040722354126,1.0,1.0,0.2859517157389498,0.3047895800950139,0.5502751849021242,0.3143501946233039,0.3047619047619047,0.3144037235013024,0.3194019933554817,0.5529086923930886,0.3514976096308596,0.3041269841269841,0.3311114197509431,0.2406030156790035,0.583172050545395,0.3189835896646528,0.2821428571428571,0.3147156765550726,0.3202129161382977,0.5359529949497104,0.3093864878291107,0.3099111414900888,0.3051238290287101,0.3058069807911859,0.5280047065848283,0.3146945259042033,0.3116181116181116,0.299090211090757,0.2924024346580737,0.5450784685290462,0.3275292680443856,0.3031746031746031,1.0,0.991919191919192,0.9948652118100128,0.9975308641975308,1.0,0.9959183673469388,0.986013986013986,0.995009746588694,0.9975308641975308,0.995744680851064,0.9959183673469388,0.9867238058551616,0.9933471644521712,1.0,0.995744680851064,0.9916666666666666,0.9886590038314176,0.992576882290562,1.0,1.0
0.1,2,1.0,0.991919191919192,0.9966040722354126,1.0,1.0,0.278041215386589,0.308690587138863,0.547381570722832,0.2902980352980353,0.2756302521008403,0.2844702342574683,0.297719298245614,0.5511967660851199,0.3276911976911977,0.2841269841269841,0.3092513790386131,0.2939602925809822,0.5650176541341715,0.3319393939393939,0.2934362934362934,0.3054803352675693,0.3221468500722316,0.5347897394781496,0.3355727605727606,0.3134362934362934,0.3285403508857245,0.2999174406604747,0.5390689922776485,0.3306643356643357,0.2934362934362934,0.2965786303525753,0.3208421425618614,0.5389666448772512,0.3042730932092634,0.3015182884748102,1.0,0.991919191919192,0.9948652118100128,0.9975308641975308,1.0,1.0,0.988148148148148,0.9948652118100128,1.0,1.0,0.9959183673469388,0.9854524383337944,0.9936628957648244,1.0,0.995744680851064,0.9959183673469388,0.9888422688422688,0.9951225907539312,1.0,0.995744680851064
0.2,2,1.0,0.991919191919192,0.9966040722354126,1.0,1.0,0.2986673781097845,0.2952087912087912,0.5387896711246292,0.2997999447361149,0.2841269841269841,0.2847911741528762,0.3006130711393869,0.5460484628974707,0.3255368744730447,0.2934362934362934,0.2933018124507486,0.301505981703026,0.5403771540135176,0.2991991341991342,0.2934362934362934,0.2924519380882288,0.3310297912268355,0.5398903035266672,0.3147939767873323,0.2934362934362934,0.289116698903933,0.2908000103427323,0.5314623826763846,0.3093011750154607,0.3051796157059315,0.2950426248298589,0.2996821672950706,0.5435016286025943,0.3123544973544973,0.2841269841269841,1.0,0.991919191919192,0.9948652118100128,0.9975308641975308,1.0,1.0,0.985071225071225,0.9948652118100128,1.0,0.995744680851064,1.0,0.991919191919192,0.9966040722354126,1.0,1.0,1.0,0.988148148148148,0.9948652118100128,1.0,1.0
0.3,2,1.0,0.991919191919192,0.9966040722354126,1.0,1.0,0.2927698975571316,0.2808886405496575,0.5392887294358857,0.3071724937557228,0.2841269841269841,0.2862793011362645,0.2948807109050517,0.5365476836546536,0.3114362512681841,0.2841269841269841,0.3002374300246641,0.301505981703026,0.5378104738429981,0.3110725677830941,0.3007936507936508,0.3015678069647971,0.3243075774542739,0.5457980852928619,0.3240909090909091,0.3023088023088023,0.2944365642237982,0.3136842105263158,0.544962309958864,0.325784436208165,0.3124839124839124,0.2997078820532556,0.3165986394557823,0.5480606332231477,0.3168617947634822,0.2841269841269841,1.0,0.991919191919192,0.9948652118100128,0.9975308641975308,1.0,1.0,0.991919191919192,0.9966040722354126,1.0,1.0,1.0,0.988148148148148,0.9948652118100128,1.0,1.0,1.0,0.988148148148148,0.9948652118100128,1.0,1.0
0.5,2,1.0,0.991919191919192,0.9966040722354126,1.0,1.0,0.2772937070809411,0.3095530523680855,0.5432244085011544,0.3238457014099442,0.3134362934362934,0.2851612019049577,0.2969262597187279,0.5309144257184804,0.3056826506826507,0.30765639589169,0.2857400755273095,0.3096768000180701,0.5404022421380185,0.3180901116427432,0.3023088023088023,0.2911822523980579,0.2951020408163265,0.5428289752522102,0.3184632034632034,0.2841269841269841,0.3163091145035446,0.292572427236674,0.5243103889015497,0.3175001532144389,0.2934362934362934,0.2894197292069632,0.2876039978881829,0.5422769764863243,0.3135435992578849,0.2841269841269841,1.0,0.9963636363636365,0.9964912280701752,0.9975308641975308,1.0,1.0,0.991919191919192,0.9966040722354126,1.0,1.0,1.0,0.9919191919191919,0.9966040722354126,1.0,1.0,,,,,
