features_prc,dm_dim,all_features_0,all_features_1,all_features_2,all_features_3,all_features_4,all_features_5,all_features_6,random_features_0,random_features_1,random_features_2,random_features_3,random_features_4,random_features_5,random_features_6,Unnamed: 16,fisher_4,fisher_1,fisher_6,fisher_5,fisher_3,fisher_2,fisher_0,relief_4,relief_1,relief_6,relief_5,relief_3,relief_2,relief_0,chi_square_4,chi_square_1,chi_square_6,chi_square_5,chi_square_3,chi_square_2,chi_square_0,mrmr_0,mrmr_1,mrmr_2,mrmr_3,mrmr_4,mrmr_5,mrmr_6,shirs_algo_0,shirs_algo_1,shirs_algo_2,shirs_algo_3,shirs_algo_4,shirs_algo_5,shirs_algo_6,kmeans_0.0_0,kmeans_0.0_1,kmeans_0.0_2,kmeans_0.0_3,kmeans_0.0_4,kmeans_0.0_5,kmeans_0.0_6,kmeans_0.2_0,kmeans_0.2_1,kmeans_0.2_2,kmeans_0.2_3,kmeans_0.2_4,kmeans_0.2_5,kmeans_0.2_6,kmeans_0.35_0,kmeans_0.35_1,kmeans_0.35_2,kmeans_0.35_3,kmeans_0.35_4,kmeans_0.35_5,kmeans_0.35_6,kmeans_0.5_0,kmeans_0.5_1,kmeans_0.5_2,kmeans_0.5_3,kmeans_0.5_4,kmeans_0.5_5,kmeans_0.5_6
0.05,2,0.5445440194292652,0.5611549001648439,0.505124146690111,0.5019041254335372,0.6049141331527055,0.4725517339803054,0.6528527940856708,0.0775082248942093,0.1622859972659634,0.1549817906843434,0.1538805488297014,0.1197677073768129,0.1819113263785395,0.1310366991499067,,0.1169007856096864,0.1400678052854915,0.2072044367925735,0.1938948793142341,0.1310037482109652,0.1386226577776031,0.1564600909913936,0.0866977279263733,0.1209141045168571,0.2098015187221786,0.1828200457708654,0.1760656059616387,0.1888669831260178,0.1519956177308177,0.2214417001113515,0.2196968445861909,0.1759403886059234,0.1269366219143062,0.0943058250667338,0.1823580617495711,0.1580167447101131,0.1647672731048327,0.1570993547680604,0.1720253134040501,0.0860547375259285,0.1869181310245631,0.1452678266508988,0.1746423024704459,0.2064536839140447,0.1357375638344584,0.0919784861975243,0.1267876779391422,0.1752898656356026,0.1677912921685684,0.1001208132221734,0.1611168635595162,0.1249708996487029,0.1865643515470704,0.1639685637549255,0.0746275524877768,0.2048033193670422,0.1904591589542869,0.1650642319805689,0.143566541295192,0.1715917404697728,0.1818668688396713,0.1153055185894717,0.1878802424439653,0.1788330788285995,0.1650642319805689,0.143566541295192,0.1715917404697728,0.1818668688396713,0.1153055185894717,0.1878802424439653,0.1788330788285995,0.1611168635595162,0.1249708996487029,0.1865643515470704,0.1639685637549255,0.0746275524877768,0.2048033193670422,0.1904591589542869
0.1,2,0.5445440194292652,0.5611549001648439,0.505124146690111,0.5019041254335372,0.6049141331527055,0.4725517339803054,0.6528527940856708,0.1306873636381832,0.215332777178668,0.1905944055944056,0.2139031774325892,0.116584820467961,0.1471036221506146,0.142851861774132,,0.1294464327052679,0.1870294955589073,0.334528250007111,0.1551748304332786,0.1959162984250589,0.1571551427588579,0.1215978520725293,0.1658455448541793,0.2066313096649404,0.2832080739483116,0.1587881400185255,0.2269130869130869,0.1889887379542552,0.1429628455155647,0.2542526487254398,0.1273117411630175,0.2823697603934351,0.2049080973671138,0.1953213330441697,0.1523660518225735,0.1824997584441039,0.2076244188100498,0.1671757108208409,0.1818816738816739,0.173734229712562,0.2326922921162643,0.2093664717348927,0.2999171799933197,0.1601539621166191,0.1318946839716386,0.1716245384095282,0.1299577673101456,0.1555838057589059,0.1192404158534339,0.1598218774689362,0.1161733373594511,0.1800773799255773,0.2009000465127167,0.1626294435323553,0.1359335288367546,0.1973075220708997,0.3084726657799226,0.1405895522500493,0.1573897035197344,0.1745278427776017,0.1520362631143615,0.1650788007434198,0.1623993351967969,0.3034872170954432,0.1405895522500493,0.1573897035197344,0.1745278427776017,0.1520362631143615,0.1650788007434198,0.1623993351967969,0.3034872170954432,0.1492587922096118,0.1534336595636905,0.1688541988641689,0.2033939483722825,0.1899295856321553,0.1587230115204732,0.2889078582505698
0.2,2,0.5445440194292652,0.5611549001648439,0.505124146690111,0.5019041254335372,0.6049141331527055,0.4725517339803054,0.6528527940856708,0.210588128117423,0.312492968626951,0.2126134744646167,0.2413420077524538,0.3126948033235622,0.1577492822312838,0.3639474038202852,,0.244888085932008,0.2964842502657628,0.3704429364459548,0.2235261066616999,0.2673388370149529,0.1716512569902584,0.2653828823821486,0.3390739783245638,0.2537099205517132,0.4769771426809789,0.2582861148986149,0.3758623179415281,0.2195571331981067,0.1704428629506029,0.2881113665532411,0.1827410069840156,0.4384326018808777,0.1564651483781918,0.2243372038189595,0.2183968412539841,0.1705441402125263,0.2044496638113659,0.212033607906146,0.2213146815716065,0.2503607503607503,0.274700604879633,0.2318504067465248,0.3799807924617607,0.1445473935328752,0.15464063714063714,0.1100415008770804,0.18038557213930348,0.14690098261526835,0.20509990327631447,0.18982736055105412,0.2617553044644299,0.2078021806252266,0.2934472934472935,0.2777419213206884,0.3261624256702189,0.196268580700944,0.4194104642593957,0.3135055649283709,0.2239850942644449,0.279828498449188,0.3169926691665822,0.3559411290025983,0.2036102112039599,0.3574762334733007,0.286541670064084,0.2086365270616296,0.2783971744526496,0.2446696893705654,0.2565117355041202,0.2686239260837669,0.3911627355695152,0.2112070906242866,0.2939474664679583,0.2446669333788771,0.2963849447825107,0.2355992641306648,0.2358683473389355,0.4250135731822747
0.3,2,0.5578418383663026,0.572902133251821,0.5456174695583562,0.5337518150872432,0.592952970661949,0.5135357055514795,0.6767155425219942,0.2838279824702509,0.3765313466855352,0.3163718855643083,0.3025914771463146,0.4191559833718513,0.2991093315286863,0.5245850202429151,,0.3907329397154694,0.4123654003408458,0.4374442650139725,0.3759717599856756,0.356409633219355,0.3319687077556361,0.3397252939797067,0.3926262626262626,0.3455561924414383,0.4721266746027247,0.3851688558531038,0.4101484636998096,0.2567706955606415,0.1386172330567447,0.3699923163538724,0.261601787003776,0.4631150539601244,0.2170661274484618,0.2538611145374673,0.3157163787743627,0.2046212383258387,0.3113831266772443,0.3496788642486675,0.366182836771072,0.3482739906674782,0.4253287504787651,0.3296278554178708,0.489807497467072,0.146456765146331,0.1928137072399367,0.1478321678321678,0.2249041000390693,0.164216792872483,0.1767278562072053,0.2440960375075619,0.3069900687547746,0.3884916003536693,0.3615222335422391,0.4474881182890335,0.4157183457678494,0.33290220910167,0.4804925713931929,0.2980686425929056,0.3621733821733821,0.3150481839130857,0.3904560889635516,0.4705826042431932,0.3293102225515361,0.4794026306558051,0.338705403611064,0.2854412543132295,0.3158655739787815,0.3659589595520433,0.3726625303412078,0.2799881997297796,0.4778309030045624,0.3274715289203159,0.3180679382536967,0.3915784414509279,0.3365171828347286,0.3537716381978677,0.3008364471070212,0.5208920137620989
0.5,2,0.5578418383663026,0.572902133251821,0.5456174695583562,0.5337518150872432,0.592952970661949,0.5135357055514795,0.6767155425219942,0.4795951369315169,0.4840921409214093,0.4400907208733295,0.4763727193680221,0.5210822951807671,0.5105430178361455,0.6216715771448718,,0.4648587034506796,0.485301849256794,0.5944298795600628,0.4333095238095238,0.4564384109751301,0.4219827871565707,0.3533941983941984,0.4563199368106287,0.4011591515166787,0.5925663175072389,0.4843054686600457,0.4475803750662901,0.3894427104175003,0.4341269841269841,0.4774572713643178,0.4209113159666184,0.556230449657869,0.410205396667091,0.3757700444925697,0.3509803921568627,0.3332817565576186,0.4834529505582138,0.5263519466300003,0.4776736924277908,0.4534726062467998,0.575186800620763,0.4246429701176706,0.5991284548594089,0.2273461230914458,0.1944365285588064,0.217389647422623,0.2155347384855581,0.2074044610347887,0.1752325707079805,0.2126917306089298,0.3960598972066505,0.5073216638434029,0.4156716725500755,0.417422370480191,0.5278614432714598,0.4484729989833961,0.5666866135674615,0.4471778089449899,0.4292465852728043,0.3911858481186662,0.465836086395733,0.4931775375654094,0.4273628834155102,0.585995251517193,0.4178022979526739,0.3946998722860792,0.4581616315980028,0.4406071064397208,0.4634238569802131,0.4657000639020616,0.6132456209159648,,,,,,,
