features_prc,dm_dim,all_features_0,all_features_1,all_features_2,all_features_3,all_features_4,all_features_5,random_features_0,random_features_1,random_features_2,random_features_3,random_features_4,random_features_5,fisher_0,fisher_1,fisher_2,fisher_3,fisher_4,fisher_5,relief_0,relief_1,relief_2,relief_3,relief_4,relief_5,chi_square_0,chi_square_1,chi_square_2,chi_square_3,chi_square_4,chi_square_5,mrmr_0,mrmr_1,mrmr_2,mrmr_3,mrmr_4,mrmr_5,shirs_algo_0,shirs_algo_1,shirs_algo_2,shirs_algo_3,shirs_algo_4,shirs_algo_5,kmeans_0.0_1,kmeans_0.0_2,kmeans_0.0_3,kmeans_0.0_4,kmeans_0.0_5,kmeans_0.2_0,kmeans_0.2_1,kmeans_0.2_2,kmeans_0.2_3,kmeans_0.2_4,kmeans_0.2_5,kmeans_0.35_0,kmeans_0.35_1,kmeans_0.35_2,kmeans_0.35_3,kmeans_0.35_4,kmeans_0.35_5,kmeans_0.5_0,kmeans_0.5_1,kmeans_0.5_2,kmeans_0.5_3,kmeans_0.5_4,kmeans_0.5_5,mRMR_5,kmeans_0.0_0
0.02,2,0.3527758284098182,0.3161683316208677,0.4024289971033641,0.299047377471051,0.3299044629313662,0.3661275314276201,0.1121135190136399,0.0553209823352003,0.0,0.0,0.1143255924997474,0.0,0.2165670973366949,0.2039726298086207,0.2235720909674193,0.0931815720445111,0.1413584785614034,0.1271184670212259,0.2403895208330374,0.2098441203378163,0.2461561359876272,0.1858284642664247,0.2031722409283891,0.2103170422498267,0.1517208560546273,0.048381601362862,0.2932400498669755,0.0,0.0,0.0494736842105263,0.306925511451077,0.0,0.2409641621812771,0.0083026296541749,0.0608970858720517,0.2163979735608968,0.1061783321783321,0.1209269162210338,0.1327577335219391,0.1217644533269128,0.263742966882511,0.1467700066660994,0.0553209823352003,0.0,0.0,0.1143255924997474,0.0,0.1924483639687009,0.0765539251584438,0.0776812323264659,0.0343418378866561,0.0971813507555453,0.0783529975290086,0.2311777544109272,0.2133484795004108,0.2423579437846422,0.1954913880722453,0.194516360074017,0.1983731116299459,0.2364879394096878,0.1288319559062269,0.1893216707291378,0.1312932932940652,0.1383556556852718,0.1407293603418862,,0.1121135190136399
0.05,2,0.3527758284098182,0.3161683316208677,0.4024289971033641,0.299047377471051,0.3299044629313662,0.3661275314276201,0.2942768197059188,0.1942009108523582,0.3124729794774746,0.1629418245105742,0.2206944520995316,0.2297500326100171,0.2045857240058365,0.1750705628757292,0.3196327110418825,0.1282399487298094,0.17349270910671,0.1955017303846305,0.2521361407008663,0.2411359065456154,0.2867173559484843,0.2275882606669115,0.2458604700584473,0.2545228249003742,0.2484907839649625,0.0778352322524101,0.2952038523913309,0.0729748188449686,0.0751501501501501,0.1515007056750168,0.2726257507688824,0.2475957970792444,0.3108042627496964,0.2148853958955566,0.2265553776725274,0.249475225851317,0.1343364681295715,0.1788901526379504,0.1948444058474453,0.1628037521516306,0.2124309132465033,0.1856842016759256,0.1573131058038687,0.3056650975485496,0.1287648399715943,0.1409301659828948,0.1792667111954264,0.2253178409666793,0.1992261328638596,0.2938527073696022,0.1575672130476909,0.2136798997523907,0.2242700067663509,0.2850519640462822,0.2551412496301531,0.338883089679006,0.2403854290474303,0.2509238530341273,0.263192845825456,0.2834112092073585,0.1749841798823321,0.3036396877697399,0.1710617218923306,0.1962640835374786,0.2177291840031281,,0.2286354748835687
0.1,2,0.3527758284098182,0.3161683316208677,0.4024289971033641,0.299047377471051,0.3299044629313662,0.3661275314276201,0.3129084232159923,0.3042288272378902,0.372210427236894,0.237251215632632,0.2835268312632072,0.3242170449899718,0.2514458381726941,0.2286068716526905,0.3325533480513325,0.2098476151755381,0.2345655340467158,0.2592942229078032,0.2792110155019939,0.268056362906212,0.2905595140641336,0.2513079819370759,0.25250990734264,0.2856592087647066,0.2627512166898836,0.2361788630697656,0.2966122759154462,0.2184880151695447,0.2272758198674291,0.246677314086945,0.3047785362388897,0.2637213648303446,0.3572636461737749,0.247873841762565,0.2756527813691083,0.3183170137292394,0.1198412781001051,0.2282587528224757,0.2177345482106732,0.2155883082960038,0.219836918976433,0.1671399025422794,0.2367659607221145,0.3610407508444154,0.2271507511131461,0.2430465785745967,0.2819977944958975,0.2782033610985385,0.2699447303881593,0.3604792308947254,0.2544521404762,0.2845489331838656,0.298424326811493,0.2843730690222747,0.2746538445435412,0.3751407169579291,0.2662462130406088,0.2811982618159003,0.3100088856753268,0.2856764269144705,0.2403374845375626,0.3457910757606335,0.228792355284708,0.2553608273033794,0.289020963792909,,0.2874883937268028
0.2,2,0.3527758284098182,0.3161683316208677,0.4024289971033641,0.299047377471051,0.3299044629313662,0.3661275314276201,0.3377646331164506,0.3009988760215971,0.4050774634039435,0.2956071787327273,0.3147344739296279,0.3509288124060116,0.3024649735861273,0.2927989943786692,0.3851464583549639,0.2655147721136421,0.2975606909363827,0.326426355421768,0.3156317074155754,0.2817689232322204,0.3712453282525551,0.2710145761940121,0.3047786995942043,0.3382700396128513,0.2843651651954045,0.2852207932177193,0.3569955080131958,0.2551724869068678,0.283321621620787,0.3198124408356235,0.308873479538076,0.2921640808287694,0.3822672251717788,0.2637453129071798,0.2936818812746132,0.3225581439400058,0.1378888391707006,0.2080088712601027,0.2097150052424768,0.2397263047877985,0.2014954225480541,0.1856237527004806,0.3017093033930418,0.3982204906569764,0.2841383896180299,0.3104913850625083,0.3408725148432585,0.31704990451725,0.2966827000892673,0.3829050672841239,0.2767820373470813,0.3048320719270956,0.3180164915818579,0.2966481128449875,0.2813538965452292,0.3845232260694877,0.274852143315586,0.2946476627272763,0.3238677592852584,0.3063925439768064,0.2975683407332588,0.3839196289557203,0.2818349993389422,0.3026292476626157,0.3311627690492781,,0.3324829985714511
0.3,2,0.3527758284098182,0.3161683316208677,0.4024289971033641,0.299047377471051,0.3299044629313662,0.3661275314276201,0.3373152023390746,0.3036044218711325,0.4080247102567393,0.2947836379094174,0.3224124505582468,0.3478924829194505,0.2974722804519601,0.2975828815231473,0.3928559852170648,0.2678517155412574,0.3057720926960693,0.3299416362507046,0.3274406205025743,0.2908626512497703,0.3822895234335948,0.2889187638891753,0.3076888210226715,0.3474190258185125,0.3143953613166188,0.2994320788504859,0.3754980411188486,0.2738406537092431,0.2982958187182921,0.3293667535251942,0.3202578549117462,0.2970216894394449,0.3887984602384327,0.2908205017841013,0.3064412469673681,0.3449011857250156,0.1344951643658155,0.2186581474215346,0.1982262842685526,0.2280945063553759,0.2189428130534059,0.1971765760838927,0.3095213775661073,0.4003746781097549,0.2960632164976834,0.3201447475855988,0.3475040075982792,0.3179467440554736,0.2960324150687807,0.3892016687905907,0.2763969642114609,0.3044988517483101,0.3232603283342855,0.3195602839132294,0.2995348422398814,0.3932788576562823,0.2904397423082329,0.3087577695613491,0.3508445001405229,0.3173540125014334,0.2948646069729749,0.3914413749966935,0.2896974825638642,0.3035482580540821,0.3447856635345585,,0.3527749594732746
0.5,2,0.2575612282648908,0.2306478944317312,0.3413572194706845,0.3080315898591506,0.2738689550860311,0.2868581364558003,0.2486059850838005,0.2612863580728487,0.3456570190373007,0.2920678355460965,0.2396021923557953,0.2339210769668516,0.2346451121070719,0.238348591299411,0.3527308792892638,0.2833676636382897,0.2609061435326505,0.2582318422968115,0.2358944016819997,0.2442073480967426,0.3553801915246498,0.2868015149721861,0.287722022757012,0.2691248888263813,0.2360439183393378,0.2077512719050311,0.3378882056230607,0.2640749795880048,0.2760244193371128,0.287692720923986,0.3334657727407717,0.3058826003621672,0.3966417472028669,0.3015165738049544,0.3239793374561803,0.360239520759521,0.1140925071352351,0.1971940808399175,0.2168820248820249,0.2473899393089614,0.2089272064102998,0.1635035114218135,0.319411834401433,0.4029133050587478,0.3043920042757001,0.3429530993848962,0.3661868551319044,0.3212387623270377,0.3093011191535664,0.3951171644744306,0.2909922863136274,0.3219312953202671,0.3413890408096883,0.3187106633372855,0.29970505781590645,0.38695365552095173,0.294390780201127,0.3140401052553661,0.34504798374587253,,,,,,,,0.347082869346324
