features_prc,dm_dim,all_features_0,all_features_1,all_features_2,all_features_3,all_features_4,all_features_5,all_features_6,all_features_7,all_features_8,random_features_0,random_features_1,random_features_2,random_features_3,random_features_4,random_features_5,random_features_6,random_features_7,random_features_8,fisher_0,fisher_1,fisher_2,fisher_3,fisher_4,fisher_5,fisher_6,fisher_7,fisher_8,relief_0,relief_1,relief_2,relief_3,relief_4,relief_5,relief_6,relief_7,relief_8,chi_square_0,chi_square_1,chi_square_2,chi_square_3,chi_square_4,chi_square_5,chi_square_6,chi_square_7,chi_square_8,mrmr_0,mrmr_1,mrmr_2,mrmr_3,mrmr_4,mrmr_5,mrmr_6,mrmr_7,mrmr_8,shirs_algo_0,shirs_algo_1,shirs_algo_2,shirs_algo_3,shirs_algo_4,shirs_algo_5,shirs_algo_6,shirs_algo_7,shirs_algo_8,kmeans_0.0_0,kmeans_0.0_1,kmeans_0.0_2,kmeans_0.0_3,kmeans_0.0_4,kmeans_0.0_5,kmeans_0.0_6,kmeans_0.0_7,kmeans_0.0_8,kmeans_0.2_0,kmeans_0.2_1,kmeans_0.2_2,kmeans_0.2_3,kmeans_0.2_4,kmeans_0.2_5,kmeans_0.2_6,kmeans_0.2_7,kmeans_0.2_8,kmeans_0.35_0,kmeans_0.35_1,kmeans_0.35_2,kmeans_0.35_3,kmeans_0.35_4,kmeans_0.35_5,kmeans_0.35_6,kmeans_0.35_7,kmeans_0.35_8,kmeans_0.5_0,kmeans_0.5_1,kmeans_0.5_2,kmeans_0.5_3,kmeans_0.5_4,kmeans_0.5_5,kmeans_0.5_6,kmeans_0.5_7,kmeans_0.5_8
0.02,2,0.7006929250329904,0.6298273715439449,0.572756150473345,0.6956166614323042,0.9679676968644848,0.8740428616547785,0.7523324028619547,0.8528166059881428,0.8250316741020252,0.0,0.0,0.0,0.0,0.2324725827893834,0.0,0.4409845708620648,0.0,0.0,0.0973046087255914,0.1705989278341882,0.0395393474088291,0.0,0.0,0.1706548241030999,0.0186895810955961,0.0035874439461883,0.0,0.1194258550419423,0.163263242930933,0.0386437529029261,0.0,0.0,0.0,0.0,0.0237462370674952,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1974668269000605,0.0,0.2426588756809151,0.0,0.906650065594692,0.0,0.0639432546736516,0.0,0.0482091078854383,0.0479240386611612,0.0981790017108088,0.0591360411452929,0.0045112781954887,0.0469449485783424,0.0747872847039111,0.0263999835718832,0.0032262785592324,0.0666363765229003,0.0,0.0,0.0,0.0,0.2194799270715026,0.0,0.1579350954818331,0.2852149827256443,0.0,0.0572839506172839,0.0164957400951788,0.0454293628808864,0.0194067028985507,0.18275930209473,0.100593228709713,0.0495212038303693,0.0577903682719546,0.0988278488897982,0.0944628921295547,0.0853151067287543,0.0,0.0,0.084408299219702,0.0501529051987767,0.0852427515906725,0.0333300650390561,0.1874996492868833,0.156280303674224,0.1078546968306968,0.1250536937725481,0.0606451519494997,0.1256041850869437,0.0459627329192546,0.0035012449722275,0.0428402366863905,0.1121455608411341
0.05,2,0.7006929250329904,0.6298273715439449,0.572756150473345,0.6956166614323042,0.9679676968644848,0.8740428616547785,0.7523324028619547,0.8528166059881428,0.8250316741020252,0.1979048266642137,0.269822868766368,0.0170380443180764,0.0107755953665731,0.900752599091376,0.4148889916856178,0.4278309972577765,0.1054230647345364,0.1711097605118328,0.1844828793791585,0.1280809627582863,0.0506223177545326,0.1163705366019941,0.1964981546614212,0.3624128634756099,0.0932723536821675,0.119500123240599,0.1336150401781476,0.118611246085189,0.1726973403932687,0.0402630247850278,0.0016949152542372,0.0184923848081742,0.1112148226533112,0.0,0.1581074584818494,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1617455529779629,0.0864637728000899,0.3052404117122246,0.2216273895400459,0.9244225184554982,0.7412358092981195,0.4054004135660493,0.194713862855674,0.1449770457673695,0.1302830903797067,0.1420278989167939,0.1177004531333389,0.0984928749988768,0.1718949697522038,0.1609159469245241,0.0754769473598455,0.1227456340705917,0.1715226744095629,0.1559473854297094,0.0048387096774193,0.2711912498779554,0.2057166626166524,0.8984288923669237,0.5213695993738086,0.1293558653949922,0.239616179768636,0.1543707447301239,0.1806601221724701,0.0677552440468779,0.0756069891611206,0.1458706577732322,0.2769249441399583,0.4423211445807499,0.201096710169459,0.1551674010158497,0.2232729611660167,0.1639138499878056,0.1892333613765841,0.1006869704830019,0.1821101209816467,0.2312250429039249,0.2365670468247331,0.1832021346736318,0.210702785389466,0.266756726397399,0.229950932803795,0.1812834299202863,0.1048238038144518,0.1424465661816858,0.2382677010358718,0.2247848958751152,0.1366874228453403,0.2076000358704985,0.2386650044904513
0.1,2,0.7006929250329904,0.6298273715439449,0.572756150473345,0.6956166614323042,0.9679676968644848,0.8740428616547785,0.7523324028619547,0.8528166059881428,0.8250316741020252,0.235158676195657,0.2850230810892321,0.1619427050991187,0.1812182980363229,0.9312497469094816,0.4889455628168477,0.5300248714109674,0.1876926168421154,0.4681859468227571,0.2398885286587702,0.1926106939465829,0.1157412084353639,0.2229630050997304,0.3316165989908814,0.504700872608858,0.3046772095818056,0.3640938502493316,0.3067773813360213,0.2322056960327828,0.0494827550139436,0.2148948707256558,0.154314681470786,0.2817213947743169,0.1783174381355156,0.1543502556178463,0.3404579158607119,0.2205788210752129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3141752461840048,0.3145964517432402,0.2944502310390186,0.3198563792336061,0.9312198620283436,0.7912898218303599,0.5287397866261841,0.5694934384366582,0.5272238507829962,0.0646107646107646,0.1110196394942157,0.1589603356674113,0.1606654975269793,0.2209762873941978,0.1701234737066471,0.0217647058823529,0.1584446831364124,0.1521130213937012,0.2783176064601647,0.2923795057936157,0.3137571776403971,0.3648218159323931,0.9169244847760436,0.6751480675180123,0.2374164265175532,0.3795884911387683,0.2923124414996785,0.2701435233708925,0.2375853628491554,0.219028636089669,0.2842850078170064,0.4118810334748468,0.5934666469569112,0.334264571867218,0.2544303818901344,0.3790845527703159,0.2289625097397551,0.2932049701311047,0.186307234699437,0.244120693408482,0.3633334898785534,0.4738817151259827,0.2451089363198218,0.3196832613861113,0.4279975654182896,0.2826475727251091,0.3273152455829666,0.1788173413859087,0.2454085886851313,0.3781446058523973,0.5462093526142604,0.2329561030389369,0.2540386772549192,0.3752245302529039
0.2,2,0.7006929250329904,0.6298273715439449,0.572756150473345,0.6956166614323042,0.9679676968644848,0.8740428616547785,0.7523324028619547,0.8528166059881428,0.8250316741020252,0.3118205272279428,0.3722486099182998,0.2277277809924347,0.2215139130558574,0.9471716953148784,0.6118324398902557,0.5556341631703237,0.4618266912579883,0.5341990796071624,0.3427208926024648,0.2342065861856359,0.2375325512956226,0.3181092696597226,0.4320638682735558,0.6672303894826928,0.4467864893806921,0.5631829419040592,0.4324615850008144,0.3071874111663324,0.0870876482746325,0.181343951957712,0.2723008255020108,0.363144752957128,0.4993107343993975,0.4436662878265328,0.4537532305855573,0.2761189906764807,1.0,1.0,0.9995859213250518,1.0,1.0,0.9995061728395062,1.0,1.0,1.0,0.4521638250390225,0.4472559833536107,0.4478821525710851,0.5377132346301241,0.9517704832884242,0.8130187485035819,0.6062812955759125,0.7004673199511662,0.6824135294319366,0.1236576289207868,0.1117682926829268,0.1704389078285776,0.2172603225234803,0.1832909096142549,0.213965762707404,0.1989580201621957,0.243020433702143,0.2016760550373995,0.4343670320088043,0.4678339775133046,0.3785082003311608,0.5490655169303261,0.9394839130732536,0.826255563124074,0.4320753291132416,0.4962837671675711,0.5560774334728814,0.3975320323666511,0.3742901401916434,0.3635056010577343,0.3877331623431496,0.6242329300761614,0.6819165012387859,0.5146380220263367,0.4450658798136405,0.5065595278132661,0.3462932778759796,0.3598314771818245,0.3121827865232714,0.3758971771363474,0.5682444196064604,0.6281474885209818,0.3777623365686883,0.5043176492885907,0.5559794503912107,0.3908091115738459,0.3995157373055524,0.2908907431350545,0.4071839758574023,0.6846175771950491,0.6749179886439118,0.4346419724881894,0.4874283657271657,0.4940890985664709
0.3,2,0.7006929250329904,0.6298273715439449,0.572756150473345,0.6956166614323042,0.9679676968644848,0.8740428616547785,0.7523324028619547,0.8528166059881428,0.8250316741020252,0.4422189240127782,0.4127328868192455,0.3208375806591403,0.4194699782411356,0.9489684945926696,0.6845383267359406,0.5903798618633296,0.6790475596156542,0.6182445048820856,0.4183444003182781,0.3642283683972457,0.32797534865774,0.4144434348490818,0.6474822263814682,0.7146825460300621,0.4856780708146907,0.6627496600504248,0.5934661258139328,0.4160615737895375,0.175778214486163,0.2485387516684678,0.3161305089838863,0.4746371716671365,0.5384821525877359,0.6030362435436482,0.5732720550070358,0.5438834584662621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5347138851386956,0.5196795869087419,0.5096259909945783,0.6360425116299556,0.9557689949029856,0.8558687639117798,0.672863843644503,0.7679785642114407,0.7284359420806528,0.1502689180737961,0.1367504126169081,0.1660277459039069,0.2096631473102061,0.2058583117041283,0.240185856843867,0.224066754501537,0.2235701357960899,0.2210163652024117,0.5005478780869583,0.5314210780597662,0.4324383416108331,0.6227003744412556,0.9453853913135042,0.8451800328328373,0.4556651311019104,0.5491419802252084,0.5915565260998916,0.4555797586055785,0.44789702253647,0.4049941053646382,0.482588401596223,0.6992045461508776,0.7672569035081672,0.5929785254219077,0.5765560435529767,0.6336021378883883,0.46565525210869,0.4821806530954827,0.396784803066868,0.4850019856073399,0.869940907080006,0.7275491902685784,0.5301074396541174,0.6581130963995435,0.6750802263446467,0.4629681024044908,0.473994099824789,0.4043716801022707,0.5216419120965866,0.8110267390836938,0.7512191076765231,0.4868127358670154,0.5912777622998021,0.6277224497427945
0.5,2,0.7006929250329904,0.6298273715439449,0.572756150473345,0.6956166614323042,0.9679676968644848,0.8740428616547785,0.7523324028619547,0.8528166059881428,0.8250316741020252,0.5822852188987427,0.5322537439261664,0.4564981059631753,0.572775273853271,0.9541391435163208,0.7491436377545586,0.6852716012010893,0.7733628255661625,0.7603042438008261,0.590791656731939,0.5655906792883539,0.489886332735145,0.5935292226076652,0.8488422029937552,0.7969387688966165,0.6248579676113322,0.7759118680068767,0.7328890903019223,0.544937254604034,0.4429425938246398,0.4529624593480829,0.4934626370712647,0.7146227488359331,0.698574873462259,0.7047962206047171,0.7681634931811347,0.6695550194316278,1.0,1.0,1.0,0.9995717344753746,1.0,0.9990309088455966,1.0,1.0,0.999529411764706,0.657234400862539,0.5952200262642521,0.5450552751650186,0.678217843318498,0.9644409550566682,0.8695897994182751,0.7259794936221234,0.8215707954135725,0.7939507347143887,0.1926244149075441,0.1955434621158264,0.1943880702047752,0.2062565323968403,0.2388242825984813,0.2527259229171461,0.2204831037346495,0.2656990464955768,0.2514831836401453,0.5587295171059052,0.5902923116582071,0.5125624039564786,0.6680432060004831,0.9501757279664774,0.8581468943519395,0.5893373958094057,0.6952931791917196,0.7093872163732782,0.591153435190566,0.5624604024493144,0.4825370007690524,0.6156965811957713,0.8548228373166168,0.8437062787606828,0.676257963975245,0.7404197651870114,0.73603547646891,0.5589034121994331,0.5425957112553373,0.48187020699694294,0.6137057731126682,0.9564586236106989,0.8470642609996226,0.672571001664212,0.7345023193647828,0.740789082296585,,,,,,,,,
