feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.0,"[25, 50]","['jm', 'hellinger']",0.468377,47.40087
0.02,0.35,"[10, 100]",jm,0.467351,36.459965
0.02,0.2,"[10, 100]","['jm', 'hellinger']",0.465555,47.557354
0.02,0.0,"[100, 10]","['jm', 'hellinger']",0.465427,48.021944
0.02,0.5,"[10, 100]",jm,0.461706,32.455574
0.02,0.2,"[10, 100]",jm,0.454266,32.461714
0.02,0.2,"[25, 25]","['jm', 'hellinger']",0.452854,47.908259
0.02,0.35,"[50, 25]","['jm', 'hellinger']",0.451828,48.614565
0.02,0.0,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.448749,53.851876
0.02,0.35,"[50, 50]","['jm', 'hellinger']",0.446953,50.849349
0.02,0.2,"[100, 10]","['jm', 'hellinger']",0.446568,48.056345
0.02,0.2,"[25, 50]","['jm', 'hellinger']",0.443874,47.865729
0.02,0.5,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.443618,53.142288
0.02,0.5,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.442591,53.264095
0.02,0.35,"[10, 100]","['jm', 'hellinger']",0.441437,52.690775
0.02,0.0,"[100, 10]","['wasserstein', 'hellinger']",0.436562,47.625318
0.02,0.35,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.431559,55.13303
0.02,0.35,"[25, 25]","['jm', 'hellinger']",0.429634,46.931079
0.02,0.5,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.429378,53.548461
0.02,0.35,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.423605,55.217082
0.02,0.0,"[50, 50]","['wasserstein', 'hellinger']",0.417319,49.159523
0.02,0.35,"[25, 50]","['jm', 'hellinger']",0.416934,47.013207
0.02,0.35,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.415779,54.370929
0.02,0.5,"[25, 25]","['jm', 'hellinger']",0.415394,48.674294
0.02,0.5,"[25, 50]","['jm', 'hellinger']",0.414881,47.777815
0.02,0.5,"[50, 25]","['jm', 'hellinger']",0.413342,49.068177
0.02,0.2,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.412572,53.95465
0.02,0.0,"[50, 25]","['wasserstein', 'hellinger']",0.412444,48.759258
0.02,0.5,"[50, 50]","['jm', 'hellinger']",0.410391,48.215396
0.02,0.5,"[10, 100]","['jm', 'hellinger']",0.407569,47.629642
0.02,0.35,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.403849,54.027813
0.02,0.35,"[100, 10]","['jm', 'hellinger']",0.40077,48.016041
0.02,0.5,"[10, 100]","['wasserstein', 'hellinger']",0.399743,48.435809
0.02,0.5,"[10, 100]",hellinger,0.397947,36.749139
0.02,0.35,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.388839,53.642562
0.02,0.35,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.376139,53.885894
0.02,0.2,"[100, 10]",hellinger,0.370366,36.314582
0.02,0.0,"[25, 50]","['wasserstein', 'hellinger']",0.357793,49.070718
0.02,0.5,"[100, 10]","['jm', 'hellinger']",0.357409,49.056108
0.02,0.0,"[25, 25]","['wasserstein', 'hellinger']",0.355099,48.931637
0.02,0.2,"[100, 10]","['wasserstein', 'hellinger']",0.347787,47.705259
