feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.0,"[50, 50]","['jm', 'hellinger']",0.1928,7.336808
0.02,0.0,"[10, 100]","['jm', 'hellinger']",0.1928,7.415136
0.02,0.0,"[25, 50]","['jm', 'hellinger']",0.1928,7.440241
0.02,0.0,"[50, 25]","['jm', 'hellinger']",0.1928,7.980033
0.02,0.2,"[25, 25]","['jm', 'hellinger']",0.1928,7.326155
0.02,0.2,"[100, 10]","['jm', 'hellinger']",0.1928,7.383296
0.02,0.2,"[50, 50]","['jm', 'hellinger']",0.1928,7.380751
0.02,0.2,"[10, 100]","['jm', 'hellinger']",0.1928,7.385684
0.02,0.2,"[25, 50]","['jm', 'hellinger']",0.1928,7.414181
0.02,0.2,"[50, 25]","['jm', 'hellinger']",0.1928,7.347954
0.02,0.35,"[25, 25]","['jm', 'hellinger']",0.1847,7.42662
0.02,0.35,"[100, 10]","['jm', 'hellinger']",0.1847,7.42246
0.02,0.35,"[50, 50]","['jm', 'hellinger']",0.1847,7.469195
0.02,0.35,"[10, 100]","['jm', 'hellinger']",0.1847,7.427099
0.02,0.35,"[25, 50]","['jm', 'hellinger']",0.1847,7.430561
0.02,0.35,"[50, 25]","['jm', 'hellinger']",0.1847,7.441345
0.02,0.0,"[25, 25]",wasserstein,0.1814,2.169775
0.02,0.0,"[25, 25]",hellinger,0.1814,1.506267
0.02,0.0,"[25, 25]","['wasserstein', 'hellinger']",0.1814,6.351696
0.02,0.0,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.1814,6.738306
0.02,0.0,"[100, 10]",wasserstein,0.1814,1.170764
0.02,0.0,"[100, 10]",hellinger,0.1814,1.114507
0.02,0.0,"[100, 10]","['wasserstein', 'hellinger']",0.1814,6.378506
0.02,0.0,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.1814,8.348906
0.02,0.0,"[50, 50]",wasserstein,0.1814,1.951244
0.02,0.0,"[50, 50]",hellinger,0.1814,1.881049
0.02,0.0,"[50, 50]","['wasserstein', 'hellinger']",0.1814,6.947967
0.02,0.0,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.1814,6.756092
0.02,0.0,"[10, 100]",wasserstein,0.1814,1.171064
0.02,0.0,"[10, 100]",hellinger,0.1814,1.13168
0.02,0.0,"[10, 100]","['wasserstein', 'hellinger']",0.1814,6.488436
0.02,0.0,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.1814,6.817816
0.02,0.0,"[25, 50]",wasserstein,0.1814,1.184354
0.02,0.0,"[25, 50]",hellinger,0.1814,1.123328
0.02,0.0,"[25, 50]","['wasserstein', 'hellinger']",0.1814,6.482056
0.02,0.0,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.1814,6.82545
0.02,0.0,"[50, 25]",wasserstein,0.1814,1.197018
0.02,0.0,"[50, 25]",hellinger,0.1814,1.141509
0.02,0.0,"[50, 25]","['wasserstein', 'hellinger']",0.1814,6.454522
0.02,0.0,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.1814,6.744286
0.02,0.2,"[25, 25]",hellinger,0.1791,1.141492
0.02,0.2,"[100, 10]",hellinger,0.1791,1.126589
0.02,0.2,"[50, 50]",hellinger,0.1791,1.14742
0.02,0.2,"[10, 100]",hellinger,0.1791,1.134638
0.02,0.2,"[25, 50]",hellinger,0.1791,1.12102
0.02,0.2,"[50, 25]",hellinger,0.1791,1.147795
0.02,0.5,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.1784,7.101219
0.02,0.5,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.1784,7.148828
0.02,0.5,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.1784,7.097036
0.02,0.5,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.1784,7.110922
0.02,0.5,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.1784,7.162075
0.02,0.5,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.1784,7.179137
0.02,0.0,"[25, 25]","['wasserstein', 'jm']",0.1767,8.768302
0.02,0.0,"[100, 10]","['wasserstein', 'jm']",0.1767,7.146068
0.02,0.0,"[50, 50]","['wasserstein', 'jm']",0.1767,8.366913
