feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.2,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.871,12.944894
0.02,0.2,"[50, 50]","['jm', 'hellinger']",0.8705,11.918592
0.02,0.35,"[50, 50]","['jm', 'hellinger']",0.869,11.838462
0.02,0.5,"[100, 10]","['wasserstein', 'hellinger']",0.8685,10.613252
0.02,0.2,"[50, 25]","['jm', 'hellinger']",0.868,11.948125
0.02,0.35,"[50, 25]","['jm', 'hellinger']",0.867,11.883951
0.02,0.2,"[25, 25]","['jm', 'hellinger']",0.8625,12.17493
0.02,0.0,"[100, 10]","['wasserstein', 'jm']",0.861,12.965542
0.02,0.5,"[100, 10]",hellinger,0.859,3.931984
0.02,0.0,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.858,13.067907
0.02,0.0,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.858,13.20186
0.02,0.2,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.8545,13.245006
0.02,0.2,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.8535,13.000702
0.02,0.2,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.8515,13.168885
0.02,0.2,"[10, 100]","['jm', 'hellinger']",0.8505,12.034758
0.02,0.0,"[50, 50]","['wasserstein', 'hellinger']",0.8475,11.121426
0.02,0.0,"[50, 50]","['jm', 'hellinger']",0.8475,12.265479
0.02,0.0,"[50, 25]","['wasserstein', 'hellinger']",0.8475,11.147995
0.02,0.0,"[50, 25]","['jm', 'hellinger']",0.845,12.203844
0.02,0.35,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.8445,12.913067
0.02,0.35,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.843,12.900851
0.02,0.5,"[25, 25]",wasserstein,0.842,3.743634
0.02,0.5,"[25, 50]",wasserstein,0.842,3.914868
0.02,0.2,"[50, 50]",hellinger,0.8415,4.073452
0.02,0.2,"[50, 25]",hellinger,0.8415,4.073107
0.02,0.35,"[25, 25]","['jm', 'hellinger']",0.8405,12.009485
0.02,0.0,"[10, 100]","['jm', 'hellinger']",0.84,12.242173
0.02,0.0,"[25, 50]",hellinger,0.839,4.438011
0.02,0.0,"[50, 50]",hellinger,0.8385,4.351657
0.02,0.0,"[50, 25]",hellinger,0.8385,4.235224
0.02,0.35,"[25, 50]","['jm', 'hellinger']",0.8385,12.302362
0.02,0.5,"[25, 25]","['jm', 'hellinger']",0.8385,11.702668
0.02,0.0,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.837,13.356666
0.02,0.0,"[25, 25]",hellinger,0.8335,8.075418
0.02,0.2,"[25, 50]","['jm', 'hellinger']",0.8325,12.126477
0.02,0.5,"[10, 100]",wasserstein,0.83,3.932444
0.02,0.5,"[100, 10]",wasserstein,0.826,3.753645
0.02,0.5,"[25, 50]","['jm', 'hellinger']",0.825,11.690206
0.02,0.35,"[25, 25]",hellinger,0.8245,4.181288
0.02,0.35,"[25, 50]",hellinger,0.8245,4.180216
0.02,0.2,"[25, 25]",hellinger,0.8215,4.227678
0.02,0.2,"[25, 50]",hellinger,0.8215,4.335396
0.02,0.5,"[50, 50]",wasserstein,0.8195,3.699985
0.02,0.5,"[50, 25]",wasserstein,0.8195,3.695044
0.02,0.2,"[25, 50]","['wasserstein', 'hellinger']",0.819,11.228356
0.02,0.2,"[25, 25]","['wasserstein', 'hellinger']",0.8185,11.268475
0.02,0.5,"[25, 25]","['wasserstein', 'hellinger']",0.817,10.837635
0.02,0.5,"[25, 50]","['wasserstein', 'hellinger']",0.8135,10.820675
0.02,0.5,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.811,12.575769
0.02,0.5,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.808,12.642692
0.02,0.5,"[50, 50]",hellinger,0.801,3.992726
0.02,0.5,"[50, 25]",hellinger,0.801,3.966231
0.02,0.0,"[25, 25]","['wasserstein', 'hellinger']",0.794,12.716824
0.02,0.0,"[25, 50]","['wasserstein', 'hellinger']",0.794,11.496827
0.02,0.35,"[10, 100]","['wasserstein', 'hellinger']",0.7745,10.964824
0.02,0.5,"[10, 100]","['wasserstein', 'hellinger']",0.77,10.698276
0.02,0.5,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.768,12.417785
0.02,0.5,"[25, 25]",hellinger,0.766,4.207351
0.02,0.5,"[25, 50]",hellinger,0.766,4.062362
0.02,0.2,"[50, 50]",wasserstein,0.765,4.058244
0.02,0.2,"[50, 25]",wasserstein,0.765,4.049983
0.02,0.2,"[10, 100]",wasserstein,0.763,4.004611
0.02,0.2,"[100, 10]","['jm', 'hellinger']",0.7575,11.915853
0.02,0.2,"[25, 25]",wasserstein,0.7535,4.002615
0.02,0.2,"[25, 50]",wasserstein,0.7535,3.942593
0.02,0.2,"[100, 10]",wasserstein,0.753,4.050091
0.02,0.5,"[10, 100]",hellinger,0.7455,3.947346
0.02,0.5,"[100, 10]","['jm', 'hellinger']",0.743,11.567783
0.02,0.0,"[10, 100]","['wasserstein', 'hellinger']",0.742,11.393028
0.02,0.2,"[100, 10]",hellinger,0.7405,4.005205
0.02,0.2,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.74,12.968078
0.02,0.2,"[100, 10]","['wasserstein', 'hellinger']",0.738,10.87355
0.02,0.35,"[100, 10]",hellinger,0.7335,4.038282
0.02,0.35,"[100, 10]","['jm', 'hellinger']",0.732,11.871926
0.02,0.35,"[100, 10]","['wasserstein', 'hellinger']",0.7295,10.692343
0.02,0.2,"[10, 100]","['wasserstein', 'hellinger']",0.729,11.151963
0.02,0.0,"[10, 100]",hellinger,0.7215,4.400974
0.02,0.35,"[10, 100]",hellinger,0.7165,4.153446
0.02,0.35,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.706,12.727884
